pod index,Alastor,K8s_LeastAllocated,K8s_MostAllocated,K8s_RequestedToCapacityRatio
"0,0","0,225","0,225","0,225","0,225"
"1,0","0,225","0,370","0,225","0,225"
"2,0","0,225","0,488","0,225","0,225"
"3,0","0,225","0,600","0,225","0,225"
"4,0","0,370","0,769","0,225","0,225"
"5,0","0,539","0,769","0,225","0,225"
"6,0","0,539","1,0","0,225","0,225"
"7,0","0,539","1,0","0,394","0,394"
"8,0","0,539","1,0","0,394","0,394"
"9,0","0,539","1,0","0,394","0,394"
"10,0","0,539","1,0","0,394","0,539"
"11,0","0,539","1,0","0,394","0,539"
"12,0","0,539","1,0","0,394","0,539"
"13,0","0,657","1,0","0,539","0,539"
"14,0","0,769","1,0","0,652","0,652"
"15,0","0,769","1,0","0,652","0,652"
"16,0","0,769","1,0","0,652","0,652"
"17,0","0,769","1,0","0,652","0,652"
"18,0","0,769","1,0","0,652","0,652"
"19,0","0,769","1,0","0,652","0,652"
"20,0","0,769","1,0","0,652","0,769"
"21,0","1,0","1,0","0,652","0,769"
"22,0","1,0","1,0","0,652","0,769"
"23,0","1,0","1,0","0,652","0,769"
"24,0","1,0","1,0","0,652","0,769"
"25,0","1,0","1,0","0,769","0,769"
"26,0","1,0","1,0","0,769","0,769"
"27,0","1,0","1,0","0,769","0,769"
"28,0","1,0","1,0","0,769","0,769"
"29,0","1,0","1,0","0,769","0,769"
"30,0","1,0","1,0","0,769","0,769"
"31,0","1,0","1,0","0,769","0,769"
"32,0","1,0","1,0","0,769","0,769"
"33,0","1,0","1,0","0,769","0,769"
"34,0","1,0","1,0","0,769","0,769"
"35,0","1,0","1,0","0,769","0,769"
"36,0","1,0","1,0","0,769","1,0"
"37,0","1,0","1,0","0,769","1,0"
"38,0","1,0","1,0","0,769","1,0"
"39,0","1,0","1,0","0,769","1,0"
"40,0","1,0","1,0","0,769","1,0"
"41,0","1,0","1,0","0,769","1,0"
"42,0","1,0","1,0","0,769","1,0"
"43,0","1,0","1,0","0,769","1,0"
"44,0","1,0","1,0","0,769","1,0"
"45,0","1,0","1,0","0,769","1,0"
"46,0","1,0","1,0","0,769","1,0"
"47,0","1,0","1,0","0,769","1,0"
"48,0","1,0","1,0","0,769","1,0"
"49,0","1,0","1,0","0,769","1,0"
"50,0","1,0","1,0","0,769","1,0"
"51,0","1,0","1,0","0,769","1,0"
"52,0","1,0","1,0","0,769","1,0"
"53,0","1,0","1,0","0,769","1,0"
"54,0","1,0","1,0","0,769","1,0"
"55,0","1,0","1,0","0,769","1,0"
"56,0","1,0","1,0","0,769","1,0"
"57,0","1,0","1,0","0,769","1,0"
"58,0","1,0","1,0","0,769","1,0"
"59,0","1,0","1,0","0,769","1,0"
"60,0","1,0","1,0","0,769","1,0"
"61,0","1,0","1,0","0,769","1,0"
"62,0","1,0","1,0","0,769","1,0"
"63,0","1,0","1,0","0,769","1,0"
"64,0","1,0","1,0","0,769","1,0"
"65,0","1,0","1,0","0,769","1,0"
"66,0","1,0","1,0","0,769","1,0"
"67,0","1,0","1,0","0,769","1,0"
"68,0","1,0","1,0","0,769","1,0"
"69,0","1,0","1,0","0,769","1,0"
"70,0","1,0","1,0","0,769","1,0"
"71,0","1,0","1,0","0,769","1,0"
"72,0","1,0","1,0","0,769","1,0"
"73,0","1,0","1,0","0,769","1,0"
"74,0","1,0","1,0","0,769","1,0"
"75,0","1,0","1,0","0,769","1,0"
"76,0","1,0","1,0","0,769","1,0"
"77,0","1,0","1,0","0,769","1,0"
